,Date,Open,High,Low,Close,Time
85,08/03/2022,4107.96,"4,167.66","4,107.96","4,155.17",-0.33424657534246577
86,08/02/2022,4104.21,"4,140.47","4,079.81","4,091.19",-0.336986301369863
87,08/01/2022,4112.38,"4,144.95","4,096.02","4,118.63",-0.33972602739726027
88,07/29/2022,4087.33,"4,140.15","4,079.22","4,130.29",-0.34794520547945207
89,07/28/2022,4026.13,"4,078.95","3,992.97","4,072.43",-0.3506849315068493
90,07/27/2022,3951.43,"4,039.56","3,951.43","4,023.61",-0.35342465753424657
91,07/26/2022,3953.22,"3,953.22","3,910.74","3,921.05",-0.3561643835616438
92,07/25/2022,3965.72,"3,975.30","3,943.46","3,966.84",-0.3589041095890411
93,07/22/2022,3998.43,"4,012.44","3,938.86","3,961.63",-0.36712328767123287
94,07/21/2022,3955.47,"3,999.29","3,927.64","3,998.95",-0.3698630136986301
95,07/20/2022,3935.32,"3,974.13","3,922.03","3,959.90",-0.3726027397260274
96,07/19/2022,3860.73,"3,939.81","3,860.73","3,936.69",-0.37534246575342467
97,07/18/2022,3883.79,"3,902.44","3,818.63","3,830.85",-0.3780821917808219
98,07/15/2022,3818.0,"3,863.62","3,817.18","3,863.16",-0.3863013698630137
99,07/14/2022,3763.99,"3,796.41","3,721.56","3,790.38",-0.38904109589041097
100,07/13/2022,3779.67,"3,829.44","3,759.07","3,801.78",-0.3917808219178082
101,07/12/2022,3851.95,"3,873.41","3,802.36","3,818.80",-0.39452054794520547
102,07/11/2022,3880.94,"3,880.94","3,847.22","3,854.43",-0.3972602739726027
103,07/08/2022,3888.26,"3,918.50","3,869.34","3,899.38",-0.4054794520547945
104,07/07/2022,3858.85,"3,910.63","3,858.85","3,902.62",-0.40821917808219177
105,07/06/2022,3831.98,"3,870.91","3,809.37","3,845.08",-0.410958904109589
106,07/05/2022,3792.61,"3,832.19","3,742.06","3,831.39",-0.4136986301369863
107,07/01/2022,3781.08,"3,829.82","3,752.10","3,825.33",-0.4246575342465753
108,06/30/2022,3785.99,"3,818.99","3,738.67","3,785.38",-0.4273972602739726
109,06/29/2022,3825.09,"3,836.50","3,799.02","3,818.83",-0.4301369863013699
110,06/28/2022,3913.0,"3,945.86","3,820.14","3,821.55",-0.4328767123287671
111,06/27/2022,3920.76,"3,927.72","3,889.66","3,900.11",-0.43561643835616437
112,06/24/2022,3821.75,"3,913.65","3,821.75","3,911.74",-0.4438356164383562
113,06/23/2022,3774.71,"3,802.58","3,743.52","3,795.73",-0.4465753424657534
114,06/22/2022,3733.89,"3,801.79","3,717.69","3,759.89",-0.44931506849315067
115,06/21/2022,3715.31,"3,779.65","3,715.31","3,764.79",-0.4520547945205479
116,06/17/2022,3665.9,"3,707.71","3,636.87","3,674.84",-0.46301369863013697
117,06/16/2022,3728.18,"3,728.18","3,639.77","3,666.77",-0.4657534246575342
118,06/15/2022,3764.05,"3,837.56","3,722.30","3,789.99",-0.4684931506849315
119,06/14/2022,3763.52,"3,778.18","3,705.68","3,735.48",-0.4712328767123288
120,06/13/2022,3838.15,"3,838.15","3,734.30","3,749.63",-0.473972602739726
121,06/10/2022,3974.39,"3,974.39","3,900.16","3,900.86",-0.4821917808219178
122,06/09/2022,4101.65,"4,119.10","4,017.17","4,017.82",-0.4849315068493151
123,06/08/2022,4147.12,"4,160.14","4,107.20","4,115.77",-0.4876712328767123
124,06/07/2022,4096.47,"4,164.86","4,080.19","4,160.68",-0.4904109589041096
125,06/06/2022,4134.72,"4,168.78","4,109.18","4,121.43",-0.4931506849315068
126,06/03/2022,4137.57,"4,142.67","4,098.67","4,108.54",-0.5013698630136987
127,06/02/2022,4095.41,"4,177.51","4,074.37","4,176.82",-0.5041095890410959
128,06/01/2022,4149.78,"4,166.54","4,073.85","4,101.23",-0.5068493150684932
