,maturity,strike,prijs_call,foutenvlag_call,prijs_put,foutenvlag_put,rente,begin_prijs,implied_volatility
21,2022-12-14,4030,82.4,0.5,43.6,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.3783741255693348
22,2022-12-14,4035,79.3,0.5,45.5,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.3745139484866444
23,2022-12-14,4040,76.25,0.5499999999999972,47.4,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.3706745784120424
24,2022-12-14,4045,73.25,0.5499999999999972,49.45,0.4499999999999957,-0.0174595206247759,3983.318421052632,0.36685196422227845
25,2022-12-14,4050,70.35,0.5500000000000114,51.5,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.3632286289325528
26,2022-12-14,4055,67.4,0.5,53.65,0.4500000000000028,-0.0174595206247759,3983.318421052632,0.3592407121651277
27,2022-12-14,4060,64.6,0.5,55.85,0.4499999999999957,-0.0174595206247759,3983.318421052632,0.3556323913878112
28,2022-12-14,4065,61.85,0.4499999999999957,58.1,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.3520265172940738
29,2022-12-14,4070,59.2,0.5,60.4,0.3999999999999986,-0.0174595206247759,3983.318421052632,0.34861057493120406
30,2022-12-14,4075,56.6,0.3999999999999986,62.8,0.4000000000000057,-0.0174595206247759,3983.318421052632,0.3451918530714861
31,2022-12-14,4080,54.1,0.3999999999999986,65.3,0.4000000000000057,-0.0174595206247759,3983.318421052632,0.3419614108659096
32,2022-12-14,4085,51.6,0.3999999999999986,67.75,0.4500000000000028,-0.0174595206247759,3983.318421052632,0.33852694294904984
33,2022-12-14,4090,49.2,0.3999999999999986,70.3,0.4000000000000057,-0.0174595206247759,3983.318421052632,0.33527655276873064
34,2022-12-14,4095,46.8,0.4000000000000057,73.15,0.5499999999999972,-0.0174595206247759,3983.318421052632,0.33180974800937213
35,2022-12-14,4100,44.55,0.3500000000000014,75.85,0.5500000000000114,-0.0174595206247759,3983.318421052632,0.3287268780313557
36,2022-12-14,4105,42.35,0.3500000000000014,78.6,0.5,-0.0174595206247759,3983.318421052632,0.32562591665373714
37,2022-12-14,4110,40.2,0.3999999999999986,81.45,0.5499999999999972,-0.0174595206247759,3983.318421052632,0.3225030033657627
38,2022-12-14,4115,38.15,0.3500000000000014,84.4,0.5,-0.0174595206247759,3983.318421052632,0.3195670672341002
39,2022-12-14,4120,36.15,0.3500000000000014,87.4,0.5,-0.0174595206247759,3983.318421052632,0.31660784129700803
40,2023-01-03,3990,137.1,1.0999999999999943,49.45,0.6499999999999986,0.0257842602147789,3893.621875,0.3879430709429295
41,2023-01-03,4000,130.2,1.1000000000000227,52.45,0.6499999999999986,0.0257842602147789,3893.621875,0.3813334641142121
42,2023-01-03,4010,123.4,1.0999999999999943,55.6,0.6999999999999957,0.0257842602147789,3893.621875,0.37469962913864757
43,2023-01-03,4020,116.8,1.1000000000000083,58.95,0.75,0.0257842602147789,3893.621875,0.36825570092784443
44,2023-01-03,4025,113.5,1.0999999999999943,60.65,0.75,0.0257842602147789,3893.621875,0.36493178287874073
45,2023-01-03,4030,110.3,1.1000000000000083,62.45,0.75,0.0257842602147789,3893.621875,0.3617649223537207
46,2023-01-03,4040,104.0,1.0999999999999943,66.05,0.75,0.0257842602147789,3893.621875,0.35544337446092517
47,2023-01-03,4050,97.85,1.1500000000000057,69.9,0.7999999999999972,0.0257842602147789,3893.621875,0.349166246928335
48,2023-01-03,4060,92.05,0.8500000000000085,73.9,0.7999999999999972,0.0257842602147789,3893.621875,0.34339053746017095
49,2023-01-03,4070,86.25,0.8499999999999943,78.05,0.75,0.0257842602147789,3893.621875,0.3372895018715005
50,2023-01-03,4075,83.45,0.8499999999999943,80.25,0.8499999999999943,0.0257842602147789,3893.621875,0.3343480294731153
51,2023-01-03,4080,80.65,0.8499999999999943,82.45,0.8499999999999943,0.0257842602147789,3893.621875,0.33131852951039514
52,2023-01-03,4090,75.25,0.8499999999999943,87.0,0.7999999999999972,0.0257842602147789,3893.621875,0.3254691117886017
53,2023-01-03,4100,70.0,0.7999999999999972,91.75,0.75,0.0257842602147789,3893.621875,0.31960884441756815
54,2023-01-03,4110,65.0,0.7999999999999972,97.1,1.1000000000000083,0.0257842602147789,3893.621875,0.3139759024909547
55,2023-01-03,4120,60.15,0.75,102.3,1.1000000000000083,0.0257842602147789,3893.621875,0.308311433922918
56,2023-01-03,4125,57.85,0.75,105.0,1.0999999999999943,0.0257842602147789,3893.621875,0.30564201572821625
57,2023-01-03,4130,55.55,0.75,107.7,1.0999999999999943,0.0257842602147789,3893.621875,0.3028636630844076
58,2023-01-03,4140,51.2,0.6999999999999957,113.3,1.1000000000000083,0.0257842602147789,3893.621875,0.29763477901165025
59,2023-01-03,4150,47.1,0.6999999999999957,119.1,1.1000000000000083,0.0257842602147789,3893.621875,0.2926297426360985
60,2023-02-17,4025,188.95,1.5500000000000114,119.4,0.8999999999999915,0.0508219724427104,3913.081578947368,0.30915711945522184
61,2023-02-17,4030,185.85,1.6500000000000057,121.15,0.9499999999999886,0.0508219724427104,3913.081578947368,0.3077250038294163
62,2023-02-17,4035,182.4,1.6999999999999886,123.15,0.9499999999999886,0.0508219724427104,3913.081578947368,0.3057744496227617
63,2023-02-17,4040,179.55,1.6499999999999773,124.75,0.9500000000000028,0.0508219724427104,3913.081578947368,0.30464227274360384
64,2023-02-17,4045,176.15,1.6500000000000057,126.8,0.9000000000000057,0.0508219724427104,3913.081578947368,0.3027086314764942
65,2023-02-17,4050,173.45,1.3500000000000227,128.6,1.0999999999999943,0.0508219724427104,3913.081578947368,0.3017352337093093
66,2023-02-17,4055,170.05,1.6499999999999773,130.55,0.9499999999999886,0.0508219724427104,3913.081578947368,0.29974654239516807
67,2023-02-17,4060,167.25,1.6500000000000057,132.25,0.9499999999999886,0.0508219724427104,3913.081578947368,0.2985778687431274
68,2023-02-17,4065,163.95,1.6500000000000057,134.4,1.0,0.0508219724427104,3913.081578947368,0.2966736132535597
69,2023-02-17,4070,161.2,1.6000000000000227,136.15,0.9499999999999886,0.0508219724427104,3913.081578947368,0.2955200705772644
70,2023-02-17,4075,158.3,1.5999999999999943,138.1,1.0,0.0508219724427104,3913.081578947368,0.2941255602972516
71,2023-02-17,4080,155.4,1.5999999999999943,140.15,0.9499999999999886,0.0508219724427104,3913.081578947368,0.2927021365480015
72,2023-02-17,4085,152.15,1.549999999999983,142.4,1.0,0.0508219724427104,3913.081578947368,0.29075015798924864
73,2023-02-17,4090,149.6,1.5999999999999943,144.25,1.0500000000000114,0.0508219724427104,3913.081578947368,0.2897665816131576
74,2023-02-17,4095,146.5,1.3000000000000114,146.55,1.049999999999983,0.0508219724427104,3913.081578947368,0.2879669912427351
75,2023-02-17,4100,143.95,1.25,148.6,1.200000000000017,0.0508219724427104,3913.081578947368,0.2869244521808223
76,2023-02-17,4105,140.85,1.25,150.85,1.0500000000000114,0.0508219724427104,3913.081578947368,0.28506137612685545
77,2023-02-17,4110,138.25,1.0500000000000114,152.75,1.0500000000000114,0.0508219724427104,3913.081578947368,0.2838857545520396
78,2023-02-17,4115,135.35,1.0500000000000114,155.25,1.0500000000000114,0.0508219724427104,3913.081578947368,0.2822456199858193
79,2023-02-17,4120,132.85,1.0500000000000114,157.3,1.299999999999983,0.0508219724427104,3913.081578947368,0.28115198772181965
